
🔍 Fetching policies for 833 record IDs...
   Format: Reconciliation CSV

   Processing 1/833: 32678163872...
   Processing 2/833: 32524598900...
   Processing 132/833: 31316110698...
   Processing 133/833: 31313591896...
   Processing 134/833: 31308693148...
   Processing 135/833: 31306046340...
   Processing 136/833: 31319052391...
   Processing 137/833: 31318745162...
   Processing 138/833: 31305021073...
   Processing 139/833: 31308229142...
   Processing 140/833: 31315292583...
   Processing 141/833: 31317504950...
   Processing 142/833: 31309001612...
   Processing 143/833: 31308229141...
   Processing 144/833: 31313436695...
   Processing 145/833: 31310210963...
   Processing 146/833: 31315449375...
   Processing 147/833: 31316574246...
   Processing 148/833: 31315138572...
   Processing 149/833: 31316574245...
   Processing 150/833: 31313895956...
   Processing 151/833: 31305329428...
   Processing 152/833: 31315952175...
   Processing 153/833: 31317816213...
   Processing 154/833: 31310515126...
   Processing 155/833: 31318278802...
   Processing 156/833: 31318122269...
   Processing 157/833: 31316264331...
   Processing 158/833: 31307572589...
   Processing 159/833: 31314519455...
   Processing 160/833: 31310831215...
   Processing 161/833: 31309464892...
   Processing 162/833: 31312224874...
   Processing 163/833: 31315952174...
   Processing 164/833: 31316731158...
   Processing 165/833: 31315952173...
   Processing 166/833: 31315605134...
   Processing 167/833: 31319052390...
   Processing 168/833: 31316574244...
   Processing 169/833: 31308078475...
   Processing 170/833: 31316574243...
   Processing 171/833: 31318433896...
   Processing 172/833: 31318586021...
   Processing 173/833: 31319052389...
   Processing 174/833: 31306954866...
   Processing 175/833: 31313591895...
   Processing 176/833: 31307764654...
   Processing 177/833: 31318897527...
   Processing 178/833: 31305172906...
   Processing 179/833: 31314362791...
   Processing 180/833: 31312224873...
   Processing 181/833: 31307114043...
   Processing 182/833: 31312503893...
   Processing 183/833: 31317197585...
   Processing 184/833: 31312068274...
   Processing 185/833: 31307423616...
   Processing 186/833: 31311758498...
   Processing 187/833: 31311606386...
   Processing 188/833: 31316574242...
   Processing 189/833: 31317197584...
   Processing 190/833: 31318586020...
   Processing 191/833: 31310986637...
   Processing 192/833: 31314052400...
   Processing 193/833: 31314362790...
   Processing 194/833: 31313280331...
   Processing 195/833: 31309156876...
   Processing 196/833: 31306046339...
   Processing 197/833: 31317197583...
   Processing 198/833: 31316110697...
   Processing 199/833: 31309313062...
   Processing 200/833: 31315449374...
   Processing 201/833: 31317350457...
   Processing 202/833: 31316110696...
   Processing 203/833: 31318897526...
   Processing 204/833: 31318897524...
   Processing 205/833: 31316110695...
   Processing 206/833: 31305485134...
   Processing 207/833: 31313280330...
   Processing 208/833: 31317197582...
   Processing 209/833: 31309902905...
   Processing 210/833: 31308078474...
   Processing 211/833: 31312068273...
   Processing 212/833: 31313280329...
   Processing 213/833: 31309746349...
   Processing 214/833: 31318433895...
   Processing 215/833: 31316574241...
   Processing 216/833: 31316419234...
   Processing 217/833: 31306046338...
   Processing 218/833: 31316574240...
   Processing 219/833: 31313436694...
   Processing 220/833: 31317964805...
   Processing 221/833: 31310831214...
   Processing 222/833: 31316731157...
   Processing 223/833: 31315449373...
   Processing 224/833: 31311297039...
   Processing 225/833: 31310210962...
   Processing 226/833: 31318433894...
   Processing 227/833: 31310986636...
   Processing 228/833: 31306648999...
   Processing 229/833: 31315952172...
   Processing 230/833: 31315292581...
   Processing 231/833: 31310058115...
   Processing 232/833: 31315952171...
   Processing 233/833: 31315952170...
   Processing 234/833: 31317350456...
   Processing 235/833: 31306490290...
   Processing 236/833: 31308229140...
   Processing 237/833: 31307572588...
   Processing 238/833: 31318433893...
   Processing 239/833: 31314519454...
   Processing 240/833: 31305485133...
   Processing 241/833: 31317657412...
   Processing 242/833: 31309001611...
   Processing 243/833: 31306490289...
   Processing 244/833: 31307920054...
   Processing 245/833: 31312969833...
   Processing 246/833: 31316110693...
   Processing 247/833: 31310986635...
   Processing 248/833: 31314210159...
   Processing 249/833: 31308693147...
   Processing 250/833: 31311758495...
   Processing 251/833: 31313122113...
   Processing 252/833: 31306456113...
   Processing 253/833: 31306921368...
   Processing 254/833: 31311570762...
   Processing 255/833: 31319018153...
   Processing 256/833: 31311881533...
   Processing 257/833: 31318088967...
   Processing 258/833: 31317469855...
   Processing 259/833: 31309122723...
   Processing 260/833: 31319018152...
   Processing 261/833: 31317469851...
   Processing 262/833: 31314948005...
   Processing 263/833: 31313400751...
   Processing 264/833: 31306921365...
   Processing 265/833: 31311570758...
   Processing 266/833: 31313555485...
   Processing 267/833: 31307229482...
   Processing 268/833: 31318710663...
   Processing 269/833: 31312625749...
   Processing 270/833: 31314948004...
   Processing 271/833: 31308041783...
   Processing 272/833: 31315103750...
   Processing 273/833: 31313400749...
   Processing 274/833: 31317623346...
   Processing 275/833: 31310177387...
   Processing 276/833: 31316539743...
   Processing 277/833: 31316539742...
   Processing 278/833: 31306765924...
   Processing 279/833: 31308348842...
   Processing 280/833: 31306456110...
   Processing 281/833: 31306267215...
   Processing 282/833: 31317434733...
   Processing 283/833: 31314913857...
   Processing 284/833: 31310762316...
   Processing 285/833: 31312900707...
   Processing 286/833: 31314139466...
   Processing 287/833: 31287525966...
   Processing 288/833: 31302932285...
   Processing 289/833: 31300827707...
   Processing 290/833: 31300874393...
   Processing 291/833: 31298479535...
   Processing 292/833: 31004815125...
   Processing 293/833: 30996787094...
   Processing 294/833: 30943831198...
   Processing 295/833: 30937833634...
   Processing 296/833: 30936055972...
   Processing 297/833: 30943277892...
   Processing 298/833: 30946228641...
   Processing 299/833: 30950609235...
   Processing 300/833: 30937063826...
   Processing 301/833: 30605261902...
   Processing 302/833: 30594131274...
   Processing 303/833: 30479989411...
   Processing 304/833: 30478890898...
   Processing 305/833: 30480051298...
   Processing 306/833: 30480026767...
   Processing 307/833: 30459497488...
   Processing 308/833: 30479983942...
   Processing 309/833: 30471643801...
   Processing 310/833: 30478915147...
   Processing 311/833: 30469836971...
   Processing 312/833: 30478921823...
   Processing 313/833: 30479825741...
   Processing 314/833: 30479978048...
   Processing 315/833: 30464684145...
   Processing 316/833: 30477658224...
   Processing 317/833: 30466873718...
   Processing 318/833: 30469017117...
   Processing 319/833: 30459334691...
   Processing 320/833: 30459497485...
   Processing 321/833: 30479960393...
   Processing 322/833: 30471480186...
   Processing 323/833: 30465613482...
   Processing 324/833: 30459334689...
   Processing 325/833: 30480026765...
   Processing 326/833: 30479996019...
   Processing 327/833: 30465237912...
   Processing 328/833: 30468021075...
   Processing 329/833: 30480002391...
   Processing 330/833: 30469674064...
   Processing 331/833: 30470228392...
   Processing 332/833: 30464684143...
   Processing 333/833: 30471643795...
   Processing 334/833: 30469674060...
   Processing 335/833: 30478868498...
   Processing 336/833: 30468694711...
   Processing 337/833: 30473242553...
   Processing 338/833: 30478874439...
   Processing 339/833: 30479167630...
   Processing 340/833: 30479402803...
   Processing 341/833: 30469017111...
   Processing 342/833: 30478868497...
   Processing 343/833: 30453394574...
   Processing 344/833: 30471643793...
   Processing 345/833: 30478851376...
   Processing 346/833: 30478874437...
   Processing 347/833: 30479167629...
   Processing 348/833: 30475835713...
   Processing 349/833: 30469365762...
   Processing 350/833: 30471972507...
   Processing 351/833: 30469365761...
   Processing 352/833: 30470725725...
   Processing 353/833: 30469365760...
   Processing 354/833: 30470725724...
   Processing 355/833: 30478890891...
   Processing 356/833: 30464684142...
   Processing 357/833: 30478934063...
   Processing 358/833: 30479983935...
   Processing 359/833: 30469991255...
   Processing 360/833: 30468694710...
   Processing 361/833: 30479989405...
   Processing 362/833: 30479983933...
   Processing 363/833: 30480002388...
   Processing 364/833: 30480014201...
   Processing 365/833: 30473869230...
   Processing 366/833: 30479960391...
   Processing 367/833: 30475835712...
   Processing 368/833: 30479731379...
   Processing 369/833: 30469674058...
   Processing 370/833: 30480008324...
   Processing 371/833: 30478839125...
   Processing 372/833: 30468021069...
   Processing 373/833: 30472136886...
   Processing 374/833: 30475835711...
   Processing 375/833: 30473242548...
   Processing 376/833: 30473716917...
   Processing 377/833: 30459334686...
   Processing 378/833: 30468851980...
   Processing 379/833: 30478909717...
   Processing 380/833: 30467715483...
   Processing 381/833: 30476022381...
   Processing 382/833: 30451769602...
   Processing 383/833: 30468851979...
   Processing 384/833: 30479955113...
   Processing 385/833: 30452705062...
   Processing 386/833: 30471643790...
   Processing 387/833: 30478868494...
   Processing 388/833: 30478897050...
   Processing 389/833: 30473869229...
   Processing 390/833: 30479167628...
   Processing 391/833: 30476531382...
   Processing 392/833: 30480020611...
   Processing 393/833: 30478879022...
   Processing 394/833: 30478915141...
   Processing 395/833: 30467715478...
   Processing 396/833: 30469365685...
   Processing 397/833: 30480002382...
   Processing 398/833: 30480002381...
   Processing 399/833: 30479983918...
   Processing 400/833: 30451614390...
   Processing 401/833: 30478934060...
   Processing 402/833: 30477898295...
   Processing 403/833: 30464529427...
   Processing 404/833: 30463695462...
   Processing 405/833: 30469365683...
   Processing 406/833: 30464529425...
   Processing 407/833: 30478915140...
   Processing 408/833: 30471972499...
   Processing 409/833: 30470725716...
   Processing 410/833: 30477658208...
   Processing 411/833: 30478857079...
   Processing 412/833: 30479983911...
   Processing 413/833: 30468021059...
   Processing 414/833: 30474802966...
   Processing 415/833: 30474802965...
   Processing 416/833: 30479825718...
   Processing 417/833: 30478874421...
   Processing 418/833: 30480051106...
   Processing 419/833: 30472136867...
   Processing 420/833: 30452705040...
   Processing 421/833: 30479996004...
   Processing 422/833: 30466674737...
   Processing 423/833: 30480008305...
   Processing 424/833: 30471972490...
   Processing 425/833: 30479731361...
   Processing 426/833: 30479966300...
   Processing 427/833: 30479960379...
   Processing 428/833: 30480008303...
   Processing 429/833: 30477658197...
   Processing 430/833: 30479941987...
   Processing 431/833: 30478868402...
   Processing 432/833: 30479972931...
   Processing 433/833: 30473869215...
   Processing 434/833: 30478927534...
   Processing 435/833: 30480032603...
   Processing 436/833: 30479971735...
   Processing 437/833: 30479912496...
   Processing 438/833: 30475128474...
   Processing 439/833: 30473976737...
   Processing 440/833: 30467971131...
   Processing 441/833: 30454700699...
   Processing 442/833: 30475971602...
   Processing 443/833: 30443717436...
   Processing 444/833: 30476822619...
   Processing 445/833: 30441117970...
   Processing 446/833: 30476656902...
   Processing 447/833: 30477803039...
   Processing 448/833: 30466624354...
   Processing 449/833: 30476290441...
   Processing 450/833: 30476859515...
   Processing 451/833: 30477764243...
   Processing 452/833: 30473350801...
   Processing 453/833: 30466624353...
   Processing 454/833: 30477531012...
   Processing 455/833: 30467971130...
   Processing 456/833: 30453342882...
   Processing 457/833: 30477778796...
   Processing 458/833: 30469314841...
   Processing 459/833: 30454700697...
   Processing 460/833: 30473661802...
   Processing 461/833: 30473192327...
   Processing 462/833: 30476481338...
   Processing 463/833: 30475282089...
   Processing 464/833: 30475971598...
   Processing 465/833: 30471427892...
   Processing 466/833: 30477589761...
   Processing 467/833: 30477778795...
   Processing 468/833: 30477847941...
   Processing 469/833: 30464633486...
   Processing 470/833: 30476859513...
   Processing 471/833: 30443403571...
   Processing 472/833: 30438160009...
   Processing 473/833: 30471588670...
   Processing 474/833: 30463645585...
   Processing 475/833: 30475128472...
   Processing 476/833: 30443403570...
   Processing 477/833: 30459285915...
   Processing 478/833: 30477764240...
   Processing 479/833: 30476845404...
   Processing 480/833: 30473816444...
   Processing 481/833: 30477778794...
   Processing 482/833: 30465561763...
   Processing 483/833: 30473661801...
   Processing 484/833: 30473816442...
   Processing 485/833: 30459285913...
   Processing 486/833: 30443717433...
   Processing 487/833: 30469941267...
   Processing 488/833: 30458754744...
   Processing 489/833: 30469786625...
   Processing 490/833: 30475971597...
   Processing 491/833: 30476667816...
   Processing 492/833: 30476667815...
   Processing 493/833: 30476854418...
   Processing 494/833: 30476663202...
   Processing 495/833: 30459285912...
   Processing 496/833: 30476653577...
   Processing 497/833: 30475437687...
   Processing 498/833: 30476854417...
   Processing 499/833: 30476845403...
   Processing 500/833: 30463645583...
   Processing 501/833: 30453342878...
   Processing 502/833: 30476656900...
   Processing 503/833: 30476646978...
   Processing 504/833: 30453342877...
   Processing 505/833: 30477798258...
   Processing 506/833: 30469314840...
   Processing 507/833: 30477778793...
   Processing 508/833: 30453342876...
   Processing 509/833: 30476845402...
   Processing 510/833: 30477323318...
   Processing 511/833: 30475971596...
   Processing 512/833: 30439342981...
   Processing 513/833: 30442233101...
   Processing 514/833: 30469941266...
   Processing 515/833: 30463645582...
   Processing 516/833: 30477584989...
   Processing 517/833: 30442233100...
   Processing 518/833: 30472083815...
   Processing 519/833: 30477531011...
   Processing 520/833: 30470178826...
   Processing 521/833: 30475437686...
   Processing 522/833: 30475593003...
   Processing 523/833: 30475282086...
   Processing 524/833: 30471588669...
   Processing 525/833: 30475971595...
   Processing 526/833: 30471588668...
   Processing 527/833: 30471588667...
   Processing 528/833: 30443870755...
   Processing 529/833: 30477793539...
   Processing 530/833: 30476481336...
   Processing 531/833: 30477787985...
   Processing 532/833: 30474752797...
   Processing 533/833: 30473816438...
   Processing 534/833: 30476663201...
   Processing 535/833: 30468645549...
   Processing 536/833: 30477778792...
   Processing 537/833: 30473816436...
   Processing 538/833: 30469786624...
   Processing 539/833: 30477589689...
   Processing 540/833: 30475593002...
   Processing 541/833: 30451565910...
   Processing 542/833: 30473350794...
   Processing 543/833: 30465181700...
   Processing 544/833: 30477803035...
   Processing 545/833: 30459285911...
   Processing 546/833: 30477764235...
   Processing 547/833: 30471919881...
   Processing 548/833: 30467662946...
   Processing 549/833: 30476646977...
   Processing 550/833: 30443403567...
   Processing 551/833: 30476481334...
   Processing 552/833: 30463645580...
   Processing 553/833: 30476822598...
   Processing 554/833: 30472392796...
   Processing 555/833: 30461433211...
   Processing 556/833: 30477798255...
   Processing 557/833: 30469314839...
   Processing 558/833: 30475437684...
   Processing 559/833: 30476653576...
   Processing 560/833: 30467662945...
   Processing 561/833: 30474752796...
   Processing 562/833: 30467971128...
   Processing 563/833: 30476829981...
   Processing 564/833: 30476646975...
   Processing 565/833: 30443403566...
   Processing 566/833: 30477787983...
   Processing 567/833: 30475783821...
   Processing 568/833: 30477168695...
   Processing 569/833: 30477323316...
   Processing 570/833: 30470674340...
   Processing 571/833: 30469314838...
   Processing 572/833: 30475971594...
   Processing 573/833: 30474436001...
   Processing 574/833: 30466624348...
   Processing 575/833: 30470178821...
   Processing 576/833: 30477521010...
   Processing 577/833: 30454700694...
   Processing 578/833: 30474752795...
   Processing 579/833: 30477168694...
   Processing 580/833: 30475128470...
   Processing 581/833: 30453342874...
   Processing 582/833: 30477783062...
   Processing 583/833: 30443717431...
   Processing 584/833: 30476822597...
   Processing 585/833: 30439342980...
   Processing 586/833: 30451718916...
   Processing 587/833: 30452653852...
   Processing 588/833: 30477772662...
   Processing 589/833: 30477764233...
   Processing 590/833: 30443717430...
   Processing 591/833: 30476667813...
   Processing 592/833: 30477787982...
   Processing 593/833: 30477531009...
   Processing 594/833: 30475282085...
   Processing 595/833: 30451565908...
   Processing 596/833: 30465561761...
   Processing 597/833: 30472392795...
   Processing 598/833: 30471588665...
   Processing 599/833: 30465561760...
   Processing 600/833: 30445208997...
   Processing 601/833: 30458754743...
   Processing 602/833: 30476849935...
   Processing 603/833: 30459285908...
   Processing 604/833: 30465181698...
   Processing 605/833: 30476834708...
   Processing 606/833: 30477798254...
   Processing 607/833: 30442233098...
   Processing 608/833: 30469786551...
   Processing 609/833: 30477772661...
   Processing 610/833: 30476822596...
   Processing 611/833: 30465181697...
   Processing 612/833: 30472392794...
   Processing 613/833: 30469786550...
   Processing 614/833: 30477589687...
   Processing 615/833: 30475783820...
   Processing 616/833: 30453342873...
   Processing 617/833: 30477807511...
   Processing 618/833: 30469314837...
   Processing 619/833: 30476845398...
   Processing 620/833: 30466823758...
   Processing 621/833: 30476854414...
   Processing 622/833: 30476646974...
   Processing 623/833: 30477168692...
   Processing 624/833: 30477611144...
   Processing 625/833: 30476849934...
   Processing 626/833: 30473350791...
   Processing 627/833: 30466823757...
   Processing 628/833: 30473976735...
   Processing 629/833: 30477793536...
   Processing 630/833: 30475128469...
   Processing 631/833: 30467662944...
   Processing 632/833: 30468800786...
   Processing 633/833: 30451718915...
   Processing 634/833: 30466823756...
   Processing 635/833: 30459285907...
   Processing 636/833: 30466823755...
   Processing 637/833: 30451718914...
   Processing 638/833: 30477768192...
   Processing 639/833: 30458754742...
   Processing 640/833: 30473816435...
   Processing 641/833: 30443717428...
   Processing 642/833: 30465561759...
   Processing 643/833: 30472083812...
   Processing 644/833: 30471588663...
   Processing 645/833: 30465561758...
   Processing 646/833: 30477589686...
   Processing 647/833: 30445208996...
   Processing 648/833: 30465181696...
   Processing 649/833: 30476854413...
   Processing 650/833: 30476822594...
   Processing 651/833: 30477168691...
   Processing 652/833: 30477521009...
   Processing 653/833: 30477168690...
   Processing 654/833: 30463645578...
   Processing 655/833: 30477611143...
   Processing 656/833: 30477772660...
   Processing 657/833: 30470674338...
   Processing 658/833: 30476826680...
   Processing 659/833: 30477521008...
   Processing 660/833: 30438160008...
   Processing 661/833: 30476845397...
   Processing 662/833: 30476845396...
   Processing 663/833: 30475592999...
   Processing 664/833: 30442233097...
   Processing 665/833: 30476826679...
   Processing 666/833: 30476646973...
   Processing 667/833: 30476481333...
   Processing 668/833: 30477764232...
   Processing 669/833: 30476854412...
   Processing 670/833: 30471919880...
   Processing 671/833: 30477793465...
   Processing 672/833: 30473816434...
   Processing 673/833: 30476663200...
   Processing 674/833: 30476646972...
   Processing 675/833: 30476481332...
   Processing 676/833: 30467662943...
   Processing 677/833: 30477847936...
   Processing 678/833: 30441117964...
   Processing 679/833: 30476841305...
   Processing 680/833: 30477531007...
   Processing 681/833: 30470674336...
   Processing 682/833: 30477807510...
   Processing 683/833: 30439342978...
   Processing 684/833: 30466823754...
   Processing 685/833: 30476667812...
   Processing 686/833: 30476826678...
   Processing 687/833: 30469786548...
   Processing 688/833: 30452653850...
   Processing 689/833: 30475282084...
   Processing 690/833: 30469314836...
   Processing 691/833: 30466624346...
   Processing 692/833: 30469786547...
   Processing 693/833: 30464633483...
   Processing 694/833: 30452653849...
   Processing 695/833: 30465181625...
   Processing 696/833: 30476829979...
   Processing 697/833: 30476841304...
   Processing 698/833: 30466823753...
   Processing 699/833: 30472392793...
   Processing 700/833: 30466823752...
   Processing 701/833: 30452653848...
   Processing 702/833: 30438160007...
   Processing 703/833: 30472392792...
   Processing 704/833: 30473816432...
   Processing 705/833: 30441117963...
   Processing 706/833: 30473661796...
   Processing 707/833: 30468965644...
   Processing 708/833: 30441117962...
   Processing 709/833: 30477798252...
   Processing 710/833: 30476646971...
   Processing 711/833: 30466823751...
   Processing 712/833: 30438330219...
   Processing 713/833: 30464478870...
   Processing 714/833: 30441117961...
   Processing 715/833: 30465561757...
   Processing 716/833: 30476136505...
   Processing 717/833: 30477531006...
   Processing 718/833: 30466624345...
   Processing 719/833: 30476845395...
   Processing 720/833: 30459285905...
   Processing 721/833: 30471588661...
   Processing 722/833: 30476826676...
   Processing 723/833: 30477589685...
   Processing 724/833: 30472083811...
   Processing 725/833: 30477589684...
   Processing 726/833: 30452653847...
   Processing 727/833: 30477807509...
   Processing 728/833: 30476481331...
   Processing 729/833: 30443403564...
   Processing 730/833: 30466823750...
   Processing 731/833: 30473192321...
   Processing 732/833: 30443717425...
   Processing 733/833: 30476845394...
   Processing 734/833: 30475783819...
   Processing 735/833: 30473976733...
   Processing 736/833: 30476826675...
   Processing 737/833: 30469786546...
   Processing 738/833: 30445208994...
   Processing 739/833: 30471919879...
   Processing 740/833: 30471919878...
   Processing 741/833: 30445208993...
   Processing 742/833: 30472083810...
   Processing 743/833: 30476663198...
   Processing 744/833: 30477531005...
   Processing 745/833: 30477764231...
   Processing 746/833: 30464633481...
   Processing 747/833: 30477521007...
   Processing 748/833: 30476481330...
   Processing 749/833: 30465181623...
   Processing 750/833: 30452653846...
   Processing 751/833: 30470178745...
   Processing 752/833: 30477531004...
   Processing 753/833: 30453342872...
   Processing 754/833: 30476646969...
   Processing 755/833: 30475128467...
   Processing 756/833: 30476633514...
   Processing 757/833: 30477798251...
   Processing 758/833: 30443403563...
   Processing 759/833: 30477793464...
   Processing 760/833: 30477793463...
   Processing 761/833: 30476829978...
   Processing 762/833: 30476822593...
   Processing 763/833: 30476136504...
   Processing 764/833: 30475437683...
   Processing 765/833: 30477768121...
   Processing 766/833: 30468645546...
   Processing 767/833: 30477531003...
   Processing 768/833: 30474435999...
   Processing 769/833: 30466624344...
   Processing 770/833: 30476481329...
   Processing 771/833: 30445208992...
   Processing 772/833: 30476859512...
   Processing 773/833: 30469786545...
   Processing 774/833: 30445208991...
   Processing 775/833: 30463645576...
   Processing 776/833: 30473816431...
   Processing 777/833: 30469314835...
   Processing 778/833: 30469941261...
   Processing 779/833: 30476854411...
   Processing 780/833: 30476667810...
   Processing 781/833: 30471919877...
   Processing 782/833: 30466823749...
   Processing 783/833: 30442233096...
   Processing 784/833: 30477803030...
   Processing 785/833: 30477772658...
   Processing 786/833: 30468800785...
   Processing 787/833: 30467971126...
   Processing 788/833: 30476849932...
   Processing 789/833: 30438160006...
   Processing 790/833: 30476653571...
   Processing 791/833: 30477783060...
   Processing 792/833: 30473661795...
   Processing 793/833: 30477847935...
   Processing 794/833: 30477807507...
   Processing 795/833: 30461433209...
   Processing 796/833: 30465561756...
   Processing 797/833: 30476822592...
   Processing 798/833: 30476646968...
   Processing 799/833: 30468965643...
   Processing 800/833: 30473816430...
   Processing 801/833: 30477793462...
   Processing 802/833: 30475592998...
   Processing 803/833: 30476822591...
   Processing 804/833: 30477787976...
   Processing 805/833: 30477589683...
   Processing 806/833: 30474752791...
   Processing 807/833: 30473976732...
   Processing 808/833: 30477168689...
   Processing 809/833: 30463645575...
   Processing 810/833: 30471427846...
   Processing 811/833: 30476656899...
   Processing 812/833: 30477793461...
   Processing 813/833: 30471919875...
   Processing 814/833: 30473192318...
   Processing 815/833: 30476822590...
   Processing 816/833: 30454700693...
   Processing 817/833: 30469314834...
   Processing 818/833: 30458754740...
   Processing 819/833: 30466823747...
   Processing 820/833: 30477589682...
   Processing 821/833: 30476667809...
   Processing 822/833: 30476854410...
   Processing 823/833: 30473976730...
   Processing 824/833: 30447597935...
   Processing 825/833: 30213965459...
   Processing 826/833: 30202731925...
   Processing 827/833: 30169153634...
   Processing 828/833: 30152080990...
   Processing 829/833: 30161981325...
   Processing 830/833: 30170313273...
   Processing 831/833: 30167958594...
   Processing 832/833: 30171024796...
   Processing 833/833: 30170952237...
✅ Processing complete!

📊 Statistics:
   Total Processed: 833
   Transfers Found: 833
   Transfers Not Found: 0
   Transfers with SOB: 833
   Transfers without SOB: 0
   Transfers with Policies: 827
   Transfers without Policies: 6
   API Errors: 0

⚠️  Unmapped Products Found:
   - Sontiq ID Security - Individual

📄 Results saved to: full-reconciliation-fixed.csv
